Case Number,Month_classifier,Year_classified,Type_classified,Country_classified,Area,Location,Activity_classified,Sex_classified,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Fatal_classified
1949.00.00.a,no record,1949,Unprovoked,New Guinea,"Abau Sub District, Central Province",Kerpuna ,Swimming,M," A. Bleakley;   A.M. Rapson, p.148",1949.00.00.a-Kerpuna.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1949.00.00.a-Kerpuna.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1949.00.00.a-Kerpuna.pdf,1949.00.00.a,1949.00.00.a,1775.0,Yes
1948.12.27,December,1948,Unprovoked,Australia,Western Australia,Lancelin Island,Swimming,M,"V.M. Coppleson (1958), pp.22-23",1948.12.27-Strahan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.27-Strahan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.27-Strahan.pdf,1948.12.27,1948.12.27,1774.0,Yes
1948.12.26,December,1948,Unprovoked,Australia,Queensland,"Kings Beach, Caloundra",Treadingwaterwaiting,M,"Gilbert P. Whitley (1951), p.193; V.M. Coppleson (1958), p.239. NOTE: Whitley records location as Coolangatta",1948.12.26-Keys.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.26-Keys.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.26-Keys.pdf,1948.12.26,1948.12.26,1773.0,Yes
1948.12.14.b,December,1948,Unprovoked,Iran,Shat-Al-Arab River,Abadan,not specified,M,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp",1948.12.14.b-AbdulImam.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.14.b-AbdulImam.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.14.b-AbdulImam.pdf,1948.12.14.b,1948.12.14.b,1772.0,No
1948.12.14.a,December,1948,Unprovoked,Cuba,Guantanamo Province,10 miles off Cape Maisi,Messboysjeppsentonylatonawereplayingontheafterdeckofthedanishshipgretemaerskjeppsenfelloverboardlatonathrewalifebeltthenjumpedintohelphimshipdidntnoticetheyweremissing,M,"Washington Post, 12/23/1948, p.`",1948.12.14.a-Jeppeson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.14.a-Jeppeson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.14.a-Jeppeson.pdf,1948.12.14.a,1948.12.14.a,1771.0,No
1948.12.10,December,1948,Unprovoked,Australia,Queensland,Rib Reef off Townsville,Fishing,M,"Townsville Daily Bulletin, 12/14/1948",1948.12.10-Vegsund.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.10-Vegsund.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.10-Vegsund.pdf,1948.12.10,1948.12.10,1770.0,No
1948.12.05,December,1948,Sea Disaster,Not specified,Between Kwajalein Atoll & Johnston Island,500 nautical miles southwest of Johnston Island,Airseadisasterinvolving,M,"L. Schultz & M. Malin, p.562; SAF Case #819",1948.12.05-Aircraft.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.05-Aircraft.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.12.05-Aircraft.pdf,1948.12.05,1948.12.05,1769.0,Yes
1948.11.18,November,1948,Unprovoked,Australia,Torres Strait,"Saibai Island, 80 miles north of Cape York",Pearldiving,M,"The Argus, 11/20/1948",1948.11.18-MetuelaMau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.11.18-MetuelaMau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.11.18-MetuelaMau.pdf,1948.11.18,1948.11.18,1768.0,No
1948.09.22,September,1948,Unprovoked,Greece,Attica,Keratsini ,Swimming,M,"C. Moore, GSAF",1948.09.22-Parasakis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.22-Parasakis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.22-Parasakis.pdf,1948.09.22,1948.09.22,1767.0,Yes
1948.09.19.b,September,1948,Unprovoked,Usa,Hawaii,"Off Makapauu Point, O'ahu",Swimming,M,"J. Borg, p.72; L. Taylor (1993), pp.98-99",1948.09.19.b-Kalama.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.19.b-Kalama.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.19.b-Kalama.pdf,1948.09.19.b,1948.09.19.b,1766.0,No
1948.09.19.a,September,1948,Unprovoked,Usa,Hawaii,"Off Makapauu Point, O'ahu",Fishing,M,"V.M. Coppleson (1958); Honolulu Advertiser, 8/9/1953; Hawaiian Tribune-Herald, 4/14/1963",1948.09.19.a-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.19.a-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.19.a-Hawaii.pdf,1948.09.19.a,1948.09.19.a,1765.0,No
1948.09.17.R,September,1848,Unprovoked,Turkey,Adana Province,Yumurtalik,Swimming,M,"C. Moore, GSAF",1948.09.17.R-Kaymaz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.17.R-Kaymaz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.17.R-Kaymaz.pdf,1948.09.17.R,1948.09.17.R,1764.0,Yes
1948.09.15,September,1948,Sea Disaster,Not specified,Not specified,Bound from New York to London in ballast,not specified,M,"Glasgow Herald, 9/20/1948",1948.09.15-Leicester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.15-Leicester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.15-Leicester.pdf,1948.09.15,1948.09.15,1763.0,Yes
1948.09.02,September,1948,Unprovoked,Iran,Bandar Mashur sea inlet,Not specified,Bathingorwashing,F,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp, p.85 ",1948.09.02-Roghai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.02-Roghai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.09.02-Roghai.pdf,1948.09.02,1948.09.02,1762.0,Yes
1948.08.19,August,1948,Unprovoked,Iran,Shatt-al-Arab River,Not specified,not specified,M,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp",1948.08.19-Hussain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.08.19-Hussain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.08.19-Hussain.pdf,1948.08.19,1948.08.19,1761.0,Yes
1948.08.03,August,1948,Unprovoked,Iran,Shatt-al-Arab River,Bashamir,Swimming,M,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp, p.85 ",1948.08.03-Ismail.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.08.03-Ismail.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.08.03-Ismail.pdf,1948.08.03,1948.08.03,1760.0,No
1948.08.00,August,1948,Provoked,Bahamas,Bimini Islands,Lerner Marine Laboratory,Spearing,M,"E. Clark, GSAF. P. Gilbert; V.M. Coppleson (1962), p.252",1948.08.00-Blanc.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.08.00-Blanc.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.08.00-Blanc.pdf,1948.08.00,1948.08.00,1759.0,No
1948.07.01,July,1948,Unprovoked,Usa,US Virgin Islands,"St. John, Genti Bay",Swimming,M,"Virgin Island Daily News, 7/6/1948, p.1",1948.07.01-Osborne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.07.01-Osborne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.07.01-Osborne.pdf,1948.07.01,1948.07.01,1758.0,Yes
1948.06.06.R,June,1948,Unprovoked,Northern Mariana Islands,Saipan,Not specified,Swimming,M,"Wisconsin State Journal, 6/6/1948",1948.06.06.R-Tasking.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.06.06.R-Tasking.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.06.06.R-Tasking.pdf,1948.06.06.R,1948.06.06.R,1757.0,No
1948.05.10,May,1948,Provoked,Iran,Shatt-al-Arab River,Not specified,Fishing,M,"A. Anderson, M.D. / Lt. Col. R.S. Hunt, Royal Army Medical Corp, p.84; ",1948.05.10-Ali.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.05.10-Ali.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.05.10-Ali.pdf,1948.05.10,1948.05.10,1756.0,No
1948.04.10,April,1948,Provoked,South Africa,Western Cape Province,Gansbaai,Bringing,M,"M. Levine, GSAF",1948.04.10-Groenwald.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.04.10-Groenwald.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.04.10-Groenwald.pdf,1948.04.10,1948.04.10,1755.0,No
1948.03.13.R,March,1948,Unprovoked,Kenya,Coast Province,Mombasa,not specified,M,"Star, 3/13/1948 & 2/20/1948",1948.03.13-Draper.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.03.13-Draper.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.03.13-Draper.pdf,1948.03.13.R,1948.03.13.R,1754.0,Yes
1948.03.11,March,1948,Invalid,Senegal,Cap Vert Peninsula,Between Joal & Sangomar near Dakar,not specified,No specified,Y. Gilbert-Desvallons SAF Case #887,1948.03.11-Africa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.03.11-Africa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.03.11-Africa.pdf,1948.03.11,1948.03.11,1753.0,not specified
1948.03.00,March,1948,Provoked,Papua New Guinea,"New Ireland Province, Bismarck Archipelago","Punam Passage, Rataman census div, Namatanai",Spearfishing,M,"A. M. Rapson, p.147; D. Baldridge, pp.128 & 261 ",1948.03.00-Reiman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.03.00-Reiman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.03.00-Reiman.pdf,1948.03.00,1948.03.00,1752.0,No
1948.02.13,February,1948,Sea Disaster,Usa,Texas,"Gulf of Mexico between Brownsville & Carmen, Mexico",Caircraftcarrying,M,"Pittsburgh Press, 2/21/1948/ V.M. Coppleson (1962), p.258",1948.02.13-Womack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.02.13-Womack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.02.13-Womack.pdf,1948.02.13,1948.02.13,1751.0,Yes
1948.02.12,February,1948,Unprovoked,Australia,New South Wales,"Stockton Beach, Newcastle",Swimming,M,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958); A. Sharpe, p.83",1948.02.12-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.02.12-Johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.02.12-Johnson.pdf,1948.02.12,1948.02.12,1750.0,Yes
1948.01.25,January,1948,Unprovoked,Australia,New South Wales,"Mona Vale, near Sydney",Surfskiing,M,"Cairns Post, 1/27/1948",1948.01.25-Button.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.01.25-Button.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.01.25-Button.pdf,1948.01.25,1948.01.25,1749.0,No
1948.00.00.d,no record,1948,Provoked,Usa,Florida,Biscayne Bay,not specified,M,C.L. Morgan,1948.00.00.d-Morgan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.d-Morgan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.d-Morgan.pdf,1948.00.00.d,1948.00.00.d,1748.0,No
1948.00.00.c,no record,1948,Unprovoked,New Guinea,Morobe Province,Finschafen  ,Fishingholding,M,"A.D. Campbell; A. Bleakley;  A. M. Rapson, p.148",1948.00.00.c-Finschafen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.c-Finschafen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.c-Finschafen.pdf,1948.00.00.c,1948.00.00.c,1747.0,No
1948.00.00.b,no record,1948,Provoked,Papua New Guinea,Bougainville (North Solomons),"Tung Island, off the west coast of Buka Island",Spearfishing,M,"A.M. Rapson, p.147",1948.00.00.b-TungIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.b-TungIsland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.b-TungIsland.pdf,1948.00.00.b,1948.00.00.b,1746.0,No
1948.00.00.a,no record,1948,Something in a boat activitie,South Africa,Western Cape Province,False Bay,Fishing,No specified,"T. Wallett, p.27",1948.00.00.a-Marie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.a-Marie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1948.00.00.a-Marie.pdf,1948.00.00.a,1948.00.00.a,1745.0,No
1947.12.21,December,1947,Unprovoked,Australia,New South Wales,"Watson Taylor's Lake, 25 miles south of Port Macquarie",Fishing,M,"Canberra Times, 12/22/1947",1947.12.21-Ireland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.12.21-Ireland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.12.21-Ireland.pdf,1947.12.21,1947.12.21,1744.0,No
1947.12.15.R,December,1947,Invalid,South Africa,KwaZulu-Natal,Durban,not specified,No specified,"Cape Times, 12/15/1947; M. Levine, GSAF",1947.12.15.R-JohnBull.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.12.15.R-JohnBull.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.12.15.R-JohnBull.pdf,1947.12.15.R,1947.12.15.R,1743.0,not specified
1947.12.00,December,1947,Unprovoked,Senegal,Not specified,"Tiaroye, near Dakar, Cap Vert Peninsula",Fishingdiving,M,Dejou & d'Alucida (1948),1947.12.00-Dakar.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.12.00-Dakar.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.12.00-Dakar.pdf,1947.12.00,1947.12.00,1742.0,Yes
1947.11.23,November,1947,Something in a boat activitie,Australia,South Australia,3 miles out to sea off Glenelg,Fishing,No specified,"V.M. Coppleson (1958), p.185",1947.11.23-dinghy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.23-dinghy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.23-dinghy.pdf,1947.11.23,1947.11.23,1741.0,No
1947.11.14.b,November,1947,Unprovoked,Australia,New South Wales,"Knobby's Beach, Newcastle",Fishing,M,"G.P. Whitley; Barrier Miner, 11/17/1947",1947.11.14.b-Curruthers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.14.b-Curruthers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.14.b-Curruthers.pdf,1947.11.14.b,1947.11.14.b,1740.0,No
1947.11.14.a,November,1947,Unprovoked,Australia,New South Wales,"Knobby's Beach, Newcastle",Fishing,M,"G.P. Whitley; Barrier Miner, 11/17/1947",1947.11.14.a-Martini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.14.a-Martini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.14.a-Martini.pdf,1947.11.14.a,1947.11.14.a,1739.0,No
1947.11.08.b,November,1947,Unprovoked,Australia,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,M,"G.P. Whitley (1951), p.193;V.M. Coppleson (1958), p.86; A. Sharpe, p.86",1947.11.08.b-EdwinElford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.08.b-EdwinElford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.08.b-EdwinElford.pdf,1947.11.08.b,1947.11.08.b,1738.0,Yes
1947.11.08.a,November,1947,Unprovoked,Australia,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,M,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), p.86; A. Sharpe, p. 86",1947.11.08.a-RupertElford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.08.a-RupertElford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.08.a-RupertElford.pdf,1947.11.08.a,1947.11.08.a,1737.0,No
1947.11.00,November,1947,Unprovoked,Australia,Queensland,Moreton Bay,not specified,M,"J. Green, p.34",1947.11.00-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.00-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.11.00-Smith.pdf,1947.11.00,1947.11.00,1736.0,Yes
1947.10.28,October,1947,Unprovoked,Australia,Northern Territory,"Mornington Island, Gulf of Carpentaria",Fishing,M,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), p.240",1947.10.28-Dan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.10.28-Dan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.10.28-Dan.pdf,1947.10.28,1947.10.28,1735.0,No
1947.10.10,October,1947,Unprovoked,Brazil,Pernambuco,Piedade,Swimming,M,"JC Online, 6/25/2012",1947.10.10-Serafim.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.10.10-Serafim.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.10.10-Serafim.pdf,1947.10.10,1947.10.10,1734.0,Yes
1947.08.04,August,1947,Unprovoked,Usa,Florida,In a canal 10 miles north of St Augustine,Swimming,M,R. F. Hutton; Coppleson (1958),1947.08.04-Rives.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.08.04-Rives.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.08.04-Rives.pdf,1947.08.04,1947.08.04,1733.0,Yes
1947.07.27.R,July,1947,Provoked,Usa,California,"Santa Monica, Los Angeles County",Fishing,M,"Joplin Globe, 7/27/1947",1947.07.27.R-PhilipDorn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.27.R-PhilipDorn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.27.R-PhilipDorn.pdf,1947.07.27.R,1947.07.27.R,1732.0,No
1947.07.24.R,July,1947,Unprovoked,Australia,Northern Territory,Darwin Harbour,Diving,M,"Canberra Times, 7/25/1947",1947.07.24.R-Festing.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.24.R-Festing.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.24.R-Festing.pdf,1947.07.24.R,1947.07.24.R,1731.0,No
1947.07.15,July,1947,Unprovoked,South Africa,KwaZulu-Natal,"North Beach, Durban",Swimming,M,"M. Levine, GSAF",1947.07.15-Dalldorf.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.15-Dalldorf.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.15-Dalldorf.pdf,1947.07.15,1947.07.15,1730.0,No
1947.07.00,July,1947,Invalid,Greece,Carpathian Sea,Dodecanese Islands,not specified,M,"C. Moore, GSAF",1947.07.07-Doulis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.07-Doulis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.07.07-Doulis.pdf,1947.07.00,1947.07.00,1729.0,not specified
1947.06.27,June,1947,Unprovoked,Usa,Hawaii,"Off Waianae, O'ahu",Fishing,M,"EWA Hospital; G.H. Balazs & A.K.H. Kam; J. Borg, p. 72; L. Taylor (1993), pp.98-99",1947.06.27-Limatoc.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.06.27-Limatoc.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.06.27-Limatoc.pdf,1947.06.27,1947.06.27,1728.0,No
1947.06.16,June,1947,Something in a boat activitie,Australia,New South Wales,Coogee,Fishing,No specified,"Geraldton Guardian and Express, 6/317/1947",1947.06.16-fishermen-Coogee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.06.16-fishermen-Coogee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.06.16-fishermen-Coogee.pdf,1947.06.16,1947.06.16,1727.0,No
1947.05.13.R,May,1947,Unprovoked,Kenya,Coast Province,"Kilindini Harbor, Mombasa",Swimming,M,"Sunday Tribune, 5/13/1947",1947.05.13.R-Kenya.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.05.13.R-Kenya.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.05.13.R-Kenya.pdf,1947.05.13.R,1947.05.13.R,1726.0,No
1947.04.20,April,1947,Unprovoked,South Africa,KwaZulu-Natal,"Country Club Beach, Durban",Treading,M,"A. Nielsen, M. Levine, G. Charter, GSAF ",1947.04.20-Neilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.20-Neilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.20-Neilson.pdf,1947.04.20,1947.04.20,1725.0,No
1947.04.11,April,1947,Unprovoked,South Africa,KwaZulu-Natal,"Rocket Hut Beach, Durban",Bodysurfing,M,"R. Douglas, T. Livesley,  M. Levine, GSAF ",1947.04.11-Douglas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.11-Douglas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.11-Douglas.pdf,1947.04.11,1947.04.11,1724.0,No
1947.04.06,April,1947,Unprovoked,Australia,New South Wales,Palm Beach,Surfing,M,"Courier-Mail, 4/7/1947",1947.04.06-Watt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.06-Watt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.06-Watt.pdf,1947.04.06,1947.04.06,1723.0,No
1947.04.00,April,1947,Provoked,Not specified,Not specified,Off Central American coast at 8N.79W,Movingsharkfromtunavesselwhenboatrolledplacing,M,C. Kaufmann; S. Springer ,1947.04.00-Kaufmann.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.00-Kaufmann.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.04.00-Kaufmann.pdf,1947.04.00,1947.04.00,1722.0,No
1947.03.12,March,1947,Unprovoked,South Africa,KwaZulu-Natal,"Country Club Beach, Durban",Wading,M,"A. Kriel, M. Levine, GSAF ",1947.03.12-Kriel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.03.12-Kriel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.03.12-Kriel.pdf,1947.03.12,1947.03.12,1721.0,No
1947.03.09,March,1947,Unprovoked,South Africa,KwaZulu-Natal,"Country Club Beach, Durban",Treading,M,"G. Botha, M. Levine, GSAF; T. Wallett, p.67",1947.03.09-Botha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.03.09-Botha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.03.09-Botha.pdf,1947.03.09,1947.03.09,1720.0,No
1947.02.23,February,1947,Something in a boat activitie,Australia,Queensland,Palm Beach,Fishing,No specified,"Canberra Times, 2/24/1947",1947.02.23-boat-PalmBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.02.23-boat-PalmBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.02.23-boat-PalmBeach.pdf,1947.02.23,1947.02.23,1719.0,No
1947.02.06.R,February,1947,Provoked,Bahamas,New Providence Island,Cable Beach,Attempting,M,"Miami Daily News, 2/6/1947",1947.02.06.R-Whitman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.02.06.R-Whitman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.02.06.R-Whitman.pdf,1947.02.06.R,1947.02.06.R,1718.0,No
1947.02.00,February,1947,Unprovoked,Brazil,Rio de Janeiro,Copacabana,Bathing,No specified,"Globo, 5/7/1997",1947.02.00-Brazil.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.02.00-Brazil.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.02.00-Brazil.pdf,1947.02.00,1947.02.00,1717.0,Yes
1947.01.14,January,1947,Something in a boat activitie,Australia,New South Wales,"Berry's Bay, Sydney Harbour",Rowing,No specified,"A. Sharpe, p.73",1947.01.14-rowboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.01.14-rowboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.01.14-rowboat.pdf,1947.01.14,1947.01.14,1716.0,No
1947.01.05,January,1947,Unprovoked,South Africa,KwaZulu-Natal,"Country Club Beach, Durban",Treading,M,"P. Knoop, M. Levine, GSAF",1947.01.05-Knoop.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.01.05-Knoop.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1947.01.05-Knoop.pdf,1947.01.05,1947.01.05,1715.0,No
1946.12.28,December,1946,Unprovoked,Australia,South Australia,Glenelg,Swimming,M,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), pp.110 & 240 ",1946.12.28-Streng.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.12.28-Streng.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.12.28-Streng.pdf,1946.12.28,1946.12.28,1714.0,No
1946.12.24.R,December,1946,Something in a boat activitie,Australia,Queensland,"Auckland Creek, Gladstone",not specified,No specified,"V.M. Coppleson (1958), p.181",1946.12.24.R-Lone-launch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.12.24.R-Lone-launch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.12.24.R-Lone-launch.pdf,1946.12.24.R,1946.12.24.R,1713.0,No
1946.11.20,November,1946,Unprovoked,Australia,Torres Strait,40 miles off Thursday Island,Pearldiving,M,"G.P. Whitley (1951), p. 193;V.M. Coppleson (1958), p.245",1946.11.20-EsronaJohnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.11.20-EsronaJohnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.11.20-EsronaJohnson.pdf,1946.11.20,1946.11.20,1712.0,Yes
1946.10.26.R,October,1946,Unprovoked,Marshall Islands,Kwajalein,Not specified,Fishing,M,"Washington Post, 10/27/1946",1946.10.26.R-Kwajalein.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.10.26.R-Kwajalein.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.10.26.R-Kwajalein.pdf,1946.10.26.R,1946.10.26.R,1711.0,Yes
1946.10.14,October,1946,Unprovoked,Australia,New South Wales,"Marks Point, Swan Bay, Lake Macquarie",Swimming,M,"G.P. Whitley (1951), p.193; V.M. Coppleson (1958), p.112",1946.10.14-Blackmore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.10.14-Blackmore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.10.14-Blackmore.pdf,1946.10.14,1946.10.14,1710.0,No
1946.08.24,August,1946,Unprovoked,Israel,Gaza,Jura Village,Fishing,M,"C. Moore, GSAF",1946.08.24-KMAyesh.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.08.24-KMAyesh.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1946.08.24-KMAyesh.pdf,1946.08.24,1946.08.24,1709.0,No
